1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
maschio,studente,media,nessuna,5,5,4,4,4,4,5,5,3,5,4,4,4,5,nessuno,la funzione interact,nessuno
maschio,studente,media,nessuna,5,5,5,4,4,3,5,4,4,3,4,3,5,5,nessuna,nessuna,nessuna
maschio,studente,alta,alta,5,4,5,5,4,5,5,4,4,5,5,5,5,5,Aggiungere la possibilit� di rendere disponibili i risultati sulla homepage evitando di ricaricare dataset e risultati.,La navigazione dell'RFD tree.,Tutto bellissimo.
maschio,studente,alta,media,5,5,4,5,4,4,5,5,5,5,3,3,4,4,no,visualizzazione dell'albero,nessuna
maschio,studente,alta,media,5,5,4,5,4,5,5,5,5,4,3,4,4,4,no,visualizzazione ad albero e spiegazione dell'LLM,nessuno
maschio,studente,bassa,bassa,3,3,3,4,4,2,3,4,2,3,3,4,4,5,"quanto si clicca il tasto delle info si pu� chiudere anche senza cliccare start, i titoli sul RFD tree sono sovrapposti ai rami e renderla lettura un po' meno gradevole, per la spiegazione � possibile ridurre la grandezza del font",RFD tree e la explanation,nessuna in particolare
femmina,studente,media,bassa,4,3,4,4,3,3,3,5,5,5,5,4,3,5,migliorare l'interfaccia del RDF tree,explanation,nessuna in particolare
maschio,studente,bassa,nessuna,5,5,3,5,5,5,5,5,5,5,4,5,4,5,"se fattibile, migliorare la visualizzazione dell'rfd tree",grafico sunburst,"rfd tree, spiegazione poco chiara per chi non sa ancora questo argomento"
maschio,studente,media,bassa,4,3,4,5,3,3,5,3,5,4,3,3,4,4,no,explain,sunburst
maschio,studente,media,nessuna,4,3,4,4,3,3,3,4,3,3,3,3,3,3,no,rfdtree,sumburst
maschio,studente,media,nessuna,5,4,3,4,3,5,5,4,4,3,4,5,4,4,no,rfd tree,nessuno
maschio,studente,media,nessuna,4,3,3,3,5,3,5,3,3,5,4,5,3,4,Rendere un po' pi� pulita l'interfaccia.,Sunburst e rfdtree. Belli da vedere e facili da comprendere.,Principalmente la spiegazione. Molto dettagliata ma confusionaria per chi non ne sa molto dell'argomento.
maschio,dottorando,alta,alta,5,5,4,5,5,5,5,5,5,5,5,4,5,5,Aggiungere funzione di filtro all'RFD tree,Explain e Interact,Nessuna
maschio,dottorando,alta,alta,4,5,5,5,5,5,4,5,5,5,5,5,5,5,"Riproporre la visualizzazione del task durante la sua risoluzione.Rappresentare in modo pi� chiaro l'output dell'LLM",La spiegazione del perch� una RFD � evoluta,La spiegazione del task piuttosto complessa
femmina,assegnista,alta,alta,5,5,5,5,5,5,5,5,5,5,5,5,5,5,no,la rappresentazione grafica sia in termini di RDF tree che il Sunburst permette di avere una panoramica chiara e diretta delle dipendenze,non ci sono funzionalit� che non ho gradito 
femmina,assegnista,alta,media,4,4,3,4,3,4,5,5,5,5,5,5,4,5,"1 Migliorare leggermente l'ux per la visualizzazione dell'albero. Formattare il prompt di input per una visualizzazione pi� semplice e chiara.","1La data table.La risposta fornita dall' LLM.",Il prompt di input all'LLM.
maschio,dottorando,alta,alta,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Filtro rfd tree,RFD tree,Nessuna
femmina,dottorando,alta,alta,4,5,5,4,4,4,4,4,4,4,5,5,4,5,No,"Il campo delle RFDs � un campo complesso e ancora oggi i ricercatori stanno investigando questo campo. In particolare, i processi utili al discovery e al pre-processing di RFDs non permettono un chiara spiegazione delle motivazione riguardanti come il risultato sia stato creato. A tal fine, questo tool puo offrire un supporto molto notevole nel contesto delle RFDs, soprattutto poich� attraverso l'uso di LLMs, esso riesce a spiegare in modo efficace e coerente i risultati ottenuti, ed aggiungendo ulteriori insight, che non era possibile avere da un esperto umano.",Nessuna.
femmina,professore_associato,alta,alta,5,5,5,4,5,5,4,5,5,5,5,5,5,5,"Provare a rendere pi� compatta la rappresentazione delle RFD nell'RFD Tree","La possibilit� di navigare tra le varie dipendenze, approfondire i cambiamenti in accordo all'evoluzione dei dati e ottenere spiegazioni in merito.",Nessuna
